feature,category,neutralization,horizon,ic_spearman,quintile_spread,quintile_spread_after_cost,hit_ratio,leakage_risk,rolling_ic_last,bootstrap_survival,ic_in_sample,ic_out_of_sample,spread_tail_high_signal_days,spread_tail_low_signal_days,ic_regime_on,ic_regime_off,note
breadth_sector_participation,B_breadth,market_ts,1,-0.0025681759589578175,-0.000889920192704506,-0.001889920192704506,0.5307486631016043,LOW,,,,,,,,,market-level time-series IC vs EW forward return
breadth_sector_participation,B_breadth,market_ts,5,-0.06356258613449171,-0.004359529230371606,-0.005359529230371606,0.6115591397849462,LOW,,,,,,,,,market-level time-series IC vs EW forward return
breadth_sector_participation,B_breadth,market_ts,10,-0.055742343275963085,-0.003849612692279821,-0.004849612692279821,0.6562922868741543,LOW,,,,,,,,,market-level time-series IC vs EW forward return
breadth_sector_participation,B_breadth,market_ts,20,-0.05203217182651585,-0.0037036770351203535,-0.0047036770351203535,0.7050754458161865,LOW,,,,,,,,,market-level time-series IC vs EW forward return
earn_post_gap_continuation,A_post_earnings,raw,1,,0.0034590682505021807,0.0024590682505021806,0.4884233737596472,HIGH_LEAKAGE_RISK,,,,,0.004929178902603424,-0.0035225582483986483,,,
earn_post_gap_continuation,A_post_earnings,sector,1,,0.001684334081688749,0.0006843340816887491,0.21389195148842338,HIGH_LEAKAGE_RISK,,,,,,,,,
earn_post_gap_continuation,A_post_earnings,beta,1,,,,,HIGH_LEAKAGE_RISK,,,,,,,,,
earn_post_gap_continuation,A_post_earnings,momentum,1,,,,,HIGH_LEAKAGE_RISK,,,,,,,,,
earn_post_gap_continuation,A_post_earnings,raw,5,,0.002648078470849387,0.0016480784708493871,0.5060773480662983,HIGH_LEAKAGE_RISK,,,,,0.009550418254361434,-0.012925236210738718,,,
earn_post_gap_continuation,A_post_earnings,sector,5,,-0.001546373458304079,-0.002546373458304079,0.20883977900552486,HIGH_LEAKAGE_RISK,,,,,,,,,
earn_post_gap_continuation,A_post_earnings,beta,5,,,,,HIGH_LEAKAGE_RISK,,,,,,,,,
earn_post_gap_continuation,A_post_earnings,momentum,5,,,,,HIGH_LEAKAGE_RISK,,,,,,,,,
earn_post_gap_continuation,A_post_earnings,raw,10,,0.004019412852259685,0.0030194128522596847,0.5144124168514412,HIGH_LEAKAGE_RISK,,,,,0.009440695743875642,-0.03470015361309693,,,
earn_post_gap_continuation,A_post_earnings,sector,10,,-0.00220357586920299,-0.00320357586920299,0.19955654101995565,HIGH_LEAKAGE_RISK,,,,,,,,,
earn_post_gap_continuation,A_post_earnings,beta,10,,,,,HIGH_LEAKAGE_RISK,,,,,,,,,
earn_post_gap_continuation,A_post_earnings,momentum,10,,,,,HIGH_LEAKAGE_RISK,,,,,,,,,
earn_post_gap_continuation,A_post_earnings,raw,20,,0.0074457652337065715,0.0064457652337065715,0.5040745052386496,HIGH_LEAKAGE_RISK,,,,,0.005173041315331969,-0.003634568162930913,,,
