signal,target,ic_1d,ic_5d,ic_20d,ic_20d_neutral_spy,ic_rolling_60d_mean,quintile_spread_20d,quintile_spread_20d_neutral,leakage_risk
flow_dv_zscore_SPY,IWM,0.07321893978434701,-0.019588580042363517,0.09631200419003334,0.10439570266092668,0.12459930390020621,0.013061625511841195,0.013238179376540527,LOW
flow_dv_zscore_SPY,XLK,0.057173925372140666,0.06561355632658895,0.045203817018178105,0.04356612715729232,0.16690089352305468,-0.0076577789650202,-0.01528725869640584,LOW
flow_dv_zscore_SPY,XLF,0.08653884799470819,-0.007867139682663444,0.0907985334883305,0.10203880890637575,0.06193131132917039,0.008821034425904168,0.012612414722019625,LOW
flow_dv_zscore_SPY,XLE,-0.08611579189793284,0.1130201551596429,-0.0004994826330782694,0.00584433004177259,-0.056296339626504446,-0.0026009543711457937,-0.00064229817345203,LOW
flow_abnormal_vol_QQQ,SPY,0.040812310909140226,0.055150026639637174,-0.10127233939270067,-0.10338013055530716,0.04211330632778112,-0.010131124125066207,-0.010766217557579272,LOW
flow_abnormal_vol_QQQ,QQQ,0.028385019195727376,0.03035255285693865,-0.10368033111482992,-0.10665551027707873,0.0418921191559059,-0.01622782632256902,-0.01876650128364026,LOW
flow_abnormal_vol_QQQ,IWM,0.006975557193897804,-0.08224292750120203,-0.08294094352397134,-0.08333056552675618,-0.020118527076234644,-0.009394096774245613,-0.005979935807876983,LOW
flow_abnormal_vol_QQQ,XLK,-0.001966175081800675,0.01477421283120866,-0.10071409409690729,-0.10562844112875411,0.027506178616867258,-0.019831389397116185,-0.024947747042254314,LOW
flow_abnormal_vol_QQQ,XLF,0.010621885008565046,-0.1055964029992333,-0.04494577228190749,-0.03940675259641548,-0.010827934660212632,-0.007329957083048289,-0.003664665243302649,LOW
flow_abnormal_vol_QQQ,XLE,-0.11296271364982095,0.09251413200265098,0.10352448231371597,0.1104635863108545,0.03019698454248988,0.008102335532678903,0.008211740122487342,LOW
flow_dv_zscore_QQQ,SPY,0.03740466861788297,0.06722181071563162,-0.10423985385981273,-0.10415937456087684,0.02102667407613227,-0.013901302241086504,-0.008645877050550789,LOW
flow_dv_zscore_QQQ,QQQ,0.02234101573383897,0.04460021051810846,-0.11552228510111012,-0.11429082408247213,0.004333806174229679,-0.0251412476169037,-0.01844278458785487,LOW
flow_dv_zscore_QQQ,IWM,0.00228967918354666,-0.07785895286733462,-0.10257661501513779,-0.10012263512218803,-0.03427523727351165,-0.014154371253540451,-0.007114736643686843,LOW
flow_dv_zscore_QQQ,XLK,0.0016337943431165376,0.031907787870518366,-0.11337617046281986,-0.11410176160243227,-0.0072984454746201485,-0.031383465703801044,-0.023403803132460786,LOW
flow_dv_zscore_QQQ,XLF,0.007275885204344152,-0.09749795329616778,-0.044158863581201066,-0.040400608065814185,-0.00014294906479870773,-0.004900018826941202,0.002388781003998773,LOW
flow_dv_zscore_QQQ,XLE,-0.08826295386170434,0.11956960742271257,0.12483999948902033,0.1275980122890612,0.03748044047323087,0.02120105365970868,0.008867925218037486,LOW
flow_abnormal_vol_IWM,SPY,0.008193629040410889,-0.04930230140475355,-0.12298003346916876,-0.1222621070246931,-0.03099618315029029,-0.008364887951035007,-0.009008668344509786,LOW
flow_abnormal_vol_IWM,QQQ,8.383490441588028e-06,-0.06844333554247398,-0.13553480410316682,-0.1366001967271752,-0.05776823971571052,-0.021807006844752362,-0.02388701203277207,LOW
flow_abnormal_vol_IWM,IWM,0.034500035753121,-0.140303302015516,-0.06651039204915625,-0.0625847906899503,0.010848773782190962,-0.002033057058086745,-0.0011395335489736425,LOW
flow_abnormal_vol_IWM,XLK,-0.04290127946858534,-0.07227424531857107,-0.11320499227143241,-0.11689298808139907,-0.038987803629663226,-0.026953540602873506,-0.03120808873908978,LOW
flow_abnormal_vol_IWM,XLF,0.026060826183324594,-0.09571920522916587,0.01832756352116095,0.02373883828770711,0.020518126380134834,0.014181762774358042,0.014476884737764335,LOW
