signal,target,horizon,ic_spearman,pearson,quintile_spread,quantile_means,hit_ratio,n_obs,ic_neutral
distance_from_sma20,XLK,1,-0.019351429476690434,-0.014929084418850842,-0.0005364126135766179,"{1: 0.002537621074215285, 2: -0.0004599492988865833, 3: 0.0010290705503499334, 4: -8.992847875078855e-05, 5: 0.002001208460638667}",0.5145833333333333,480,-0.0781879032228042
distance_from_sma20,XLK,5,0.0052990411656221575,-0.02014754439117386,0.001642311353137551,"{1: 0.010583346641907562, 2: 0.0007708368750711605, 3: 0.00423163534749565, 4: -0.0011147917136841567, 5: 0.012225657995045113}",0.5462184873949579,476,-0.12392167304061578
distance_from_sma20,XLK,10,0.04874184871864958,0.005540737111019852,0.007191248626324177,"{1: 0.019817543687397954, 2: 0.0034120861393264167, 3: 0.002165896356414042, 4: 0.0006109298772910602, 5: 0.027008792313722132}",0.5498938428874734,471,-0.14194907958393213
distance_from_sma20,XLK,20,0.06095812138441584,-0.0004864853952953042,0.009271146633283819,"{1: 0.031191055429379656, 2: 0.021768336584415345, 3: -0.001219908588389335, 4: 0.0036030183125949633, 5: 0.040462202062663474}",0.544468546637744,461,-0.1036705674193471
intraday_range_expansion,XLK,1,-0.05045725024848197,0.033319740186829254,-0.002683550448757153,"{1: 0.003069440217724033, 2: 0.0018568216383700678, 3: -0.0013800474657783071, 4: 0.0010859181482838394, 5: 0.0003858897689668801}",0.59375,480,-0.04023485731233193
intraday_range_expansion,XLK,5,-0.036592257558435495,-0.004668418199692433,-0.008291054481372464,"{1: 0.009653056963580162, 2: 0.005554859633348981, 3: 0.002830571445738835, 4: 0.007305987143889417, 5: 0.001362002482207698}",0.5777310924369747,476,0.005805474377234173
intraday_range_expansion,XLK,10,0.029350470069666325,0.06751909943936044,-0.0030001139468370675,"{1: 0.015601944609567537, 2: 0.004740577360838469, 3: 0.007959666463021136, 4: 0.012156076076694316, 5: 0.012601830662730469}",0.5859872611464968,471,0.11322557971479696
intraday_range_expansion,XLK,20,-0.07420786324870075,0.011037697883989162,-0.016509321006245165,"{1: 0.03027332991605602, 2: 0.019817313234136272, 3: 0.015197942509156707, 4: 0.016762084508822973, 5: 0.013764008909810858}",0.6117136659436009,461,0.07628908676744667
realized_volatility_10d,XLK,1,0.03815749773710149,0.07642564770557003,0.0021589201963714798,"{1: 0.0010948837111815842, 2: 0.0011652188971116183, 3: -0.00029372117640512585, 4: 0.0004100066789146254, 5: 0.003253803907553064}",0.5991820040899796,489,0.01724586803267601
realized_volatility_10d,XLK,5,0.10092563666446829,0.18426770389054747,0.015605754537855586,"{1: 0.004976201903178293, 2: 0.004230710201256021, 3: 0.002585030379563577, 4: -0.0034624144718379897, 5: 0.020581956441033878}",0.5814432989690722,485,0.09043818458379088
